0;Ticker;доход;риск;кумулятивная просадка;макс. Просадка
1;AAPL;0,291349317;0,015807854;18,97546898;35,47385349
2;MSFT;0,413495601;0,01324627;8,54507811;38,13937221
3;ATVI;-0,333332314;0,019987069;81,05903758;44,82227146
4;EA;-0,084987597;0,015826939;60,46803438;19,29247499
5;HPQ;0,426524165;0,019638572;36,84359119;36,7191601
6;IBM;0,05997019;0,015202505;49,99686304;23,44658911
7;IT;0,735738007;0,019128065;6,484095615;55,37696135
8;STX;0,597499106;0,024446947;22,09046992;48,93913043
9;AMZN;0,023489725;0,01521686;30,29048246;20,8891545
10;BKNG;0,074357763;0,020947395;41,32316958;28,77803791
11;EBAY;0,280191401;0,020814705;20,54708576;36,09628986
12;FB;0,20809458;0,018611105;24,27379384;35,72662096
13;GOOGLE;0,502566303;0,015249496;7,789070833;42,50876777
14;MA;0,006645656;0,017955705;56,45899994;22,58814609
15;NFLX;0,108067997;0,019859422;28,304787;29,88477497
16;V;-0,009278038;0,015257489;44,40366397;24,21790938
17;ADBE;0,125617049;0,018697387;18,02810716;38,81197612
18;ADSK;-0,082395312;0,02203713;48,65424431;27,05174278
19;ORCL;0,298712373;0,018093703;10,97308489;41,76555716
20;AVGO;0,418527006;0,01789243;16,65725579;37,52595361
21;INTC;0,033165298;0,019970811;78,38634795;29,84178142
22;MU;0,214325859;0,025053392;65,37737625;30,97639597
23;NVDA;0,812197552;0,028145468;10,16688625;65,26546021
24;QCOM;0,182660653;0,021497541;42,51207729;35,04332206
25;TXN;0,138280046;0,016839614;23,68090846;19,46445427
26;BAC;0,383786754;0,016026718;16,86429513;38,70167459
27;C;-0,020811894;0,016379226;55,3736119;27,38542449
28;JPM;0,220069657;0,013423411;23,24487107;26,85411573
29;WFC;0,463604804;0,021188117;15,03231068;42,88461538
30;GS;0,372009349;0,015813044;15,68166133;37,47788133
31;MS;0,359327195;0,016378799;15,9483029;36,41536273
32;SCHW;0,460960221;0,019088545;13,03720434;39,94406898
33;BK;0,313730057;0,016222952;12,70468662;33,73273423
34;BLK;0,238148083;0,014299058;16,94585608;29,67400591
35;STT;0,245158301;0,019523264;16,96781479;29,94395516
36;GM;0,342185267;0,024228671;40,91850179;37,30072744
37;F;0,859894926;0,026053023;16,24317711;60,27972028
38;CCI;0,270991001;0,012612727;29,22077922;29,68764971
39;EQIX;0,169195185;0,015829099;24,57180501;32,61216769
40;PLD;0,524340151;0,012116746;6,408808583;44,22071751
41;PSA;0,483637369;0,011837841;6,775832863;42,91435284
42;SPG;0,627795321;0,019941744;10,08218834;51,43108504
43;COST;0,409931647;0,011864424;8,573310747;45,15032496
44;WMT;0,003739099;0,010595677;39,70136144;15,79399142
45;JWN;-0,321904086;0,040311893;77,02490746;57,1958943
46;M;0,844627632;0,041679219;12,21532091;69,97591651
47;AZN;0,152921107;0,013991569;24,34594391;26,11624628
48;AMGN;-0,021764362;0,01271703;74,60003764;23,25383962
49;BIIB;-0,020381084;0,028155457;52,00451722;46,0056425
50;GILD;0,220186902;0,012074405;23,1413514;18,5225421
51;INCY;-0,169754272;0,019549787;80,86454608;36,97512438
52;REGN;0,267885241;0,016466661;18,64608821;34,39702773
53;VRTX;-0,073463737;0,016567326;75,27134701;26,6462227
54;ABBV;0,234003639;0,012802943;26,73944413;24,74067535
55;ABBV;0,234003639;0,012802943;26,73944413;24,74067535
56;LLY;0,492246129;0,019679641;19,25152143;41,11238532
57;MRK;-0,017589693;0,014896965;33,61252274;23,98939695
58;PFE;0,472614995;0,016343028;13,15640881;45,32244898
59;JNJ;0,359004839;0,012044474;13,71165067;35,84793702
60;UNH;0,083409566;0,009220098;40,71146245;14,70997938
61;T;-0,15623909;0,012477633;82,67770876;32,05638983
62;VZ;-0,122816961;0,009153068;80,48811092;16,38104839
63;LUMN;0,252453381;0,032068485;50,42348955;36,71875
64;COP;0,590533576;0,022552575;17,83675262;48,63040374
65;CVX;0,329001279;0,015671158;29,20823138;28,68928361
66;EOG;0,577304811;0,028136002;23,75933245;48,65616311
67;SLB;0,316244154;0,025671778;31,4699793;40,27929901
68;XOM;0,395060202;0,018728357;28,51182634;37,4623267
